Nom du client,Delivery_Method,Unique_Site_Identifier,Code IPACT,No de site,Nomdesite,Adresse,Suffixe,Rue,Ville,Postal code,Prov,In Territory,Access Type,Speed,NPANXX,Tier,Delivery Method,RFP Lot,SupplierName From Real Time,Package,Management Level,IPACT - MR COGS,IPACT - NR COGS,COGS(long),MRC inv. Oct '19,OLD MRC - Don't use,SC1,SC2-GL,SC2-PB,SC3-GL,SC3-PB,SC4,SC5-GL,SC5-PB,SC6-GL,SC6-PB,CMO GM,CMO+50% GM,CMO+50%,MRC for cost,MRC for 15% margin,Off-net Cat
Loto-Québec,On-Net,0000000000045872-0002,4587,2-0002,02897-STMAB-CE1,310,BD,Lanaudière,Sainte-Anne-de-la-Pérade,G0X2J0,QC,Non,DSL VPN,64 Kbps,418325,4,Off-Net (ReSale),Lot2,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000045932-0002,4593,2-0002,02006-STMAB-CE1,185,Rue,Principale,Sainte-Anne-De-La-Pérade,G0X2J0,QC,Non,DSL VPN,64 Kbps,418325,4,Off-Net (ReSale),Lot2,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054737-0001,3054,737-0001,16554-CAPMEULE-CE1,181,,PRINCIPAL,CAP AUX MEULES,G4T1C4,QC,Non,DSL VPN,64 Kbps,418937,4,On-Net,Lot4,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000047212-0002,4721,2-0002,01738-STMAB-CE1,511,ROUTE,DU PETIT CAP,CAP ST-IGNACE,G0R1H0,QC,Non,DSL VPN,64 Kbps,418246,4O,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054388-0002,3054,388-0002,05201A-CAPMEULE-CE1,236,CH,PRINCIPAL,CAP-AUX-MEULES,G4T1C9,QC,Non,DSL VPN,64 Kbps,418986,4O,On-Net,Lot4,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,00000000000434812-0002,4348,12-0002,02763-STHYA-CE1,962,Rue,St Édouard,Saint Jude,J0H1P0,QC,Non,DDS,56 Kbps,450792,4,On-Net,Lot3,Independent Settlements,High Performance,NetControl,,,102.08,92,92,138,1060.2,2006.6,743,1419,138,1060.2,2006.6,743,1419,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000043932-0002,4393,2-0002,01751-RMKI1-CE1,50,Rue,Notre Dame,Cap-Chat,G0J1E0,QC,Non,DSL VPN,64 Kbps,418786,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000043935-0003,4393,5-0003,09465-RMKI1-CE1,24,RUE,NOTRE DAME E,CAP-CHAT,G0J1E0,QC,Non,DSL VPN,64 Kbps,418786,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000045282-0002,4528,2-0002,08288-RMKI1-CE1,78,BOUL,PERRON OUEST,CAPLAN,G0C1H0,QC,Non,DSL VPN,64 Kbps,418388,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000047256-0002,4725,6-0002,01938-STMAB-CE1,1718,Rue,St Georges,Saint Bernard,G0S2G0,QC,Non,DSL VPN,64 Kbps,418475,4,Off-Net (ReSale),Lot3,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000045284-0002,4528,4-0002,14402-RMKI1-CE1,37,BOUL,PERRON EST,CAPLAN,G0C1H0,QC,Non,DSL VPN,64 Kbps,418388,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000047605-0002,4760,5-0002,12214-STMAB-CE1,7,Ch,Bellevue O,Cap-St-Ignace,G0R1H0,QC,Non,DSL VPN,64 Kbps,418246,4O,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,Off-Net (ReSale),0000000000044233-0002,4423,3-0002,09515-RMKI1-CE1,28,RUE,ST-JEAN-BAPTISTE,CAUSAPSCAL,G0J1J0,QC,Non,DSL VPN,64 Kbps,418756,4,Off-Net (ReSale),Lot4,TELUS Quebec,Enhanced,NetControl,75,225,79.82,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000043675-0002,4367,5-0002,10039-ROUYN-CE1,1350,AVE,LARIVIÈRE,ROUY-NORANDA,J9X4L1,QC,Non,DSL VPN,64 Kbps,819762,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054750-0001,3054,750-0001,16560-ROUYN-CE1,215,BD,Rideau,Rouyn-Noranda,J9X5Y6,QC,Non,DSL VPN,64 Kbps,819762,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054349-0002,3054,349-0002,16273-ROUYN-CE1,4,RUE,15,ROUYN-NORANDA,J9X2J8,QC,Non,DSL VPN,64 Kbps,819762,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003039603-0002,3039,603-0002,15851-ROUYN-CE1,430,AV,LARIVIERE,ROUYN-NORANDA,J9X4J1,QC,Non,DSL VPN,64 Kbps,819797,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003039127-0003,3039,127-0003,15358-VALDOR-CE1,9594,,AVENUE LARIVIÈRE,Rouyn-Noranda,J0Y1C0,QC,Non,DDS,56 Kbps,819759,4,On-Net,Lot1,Independent Settlements,High Performance,NetControl,,,102.08,92,92,138,1060.2,2006.6,743,1419,138,1060.2,2006.6,743,1419,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000001861691-0003,1861,691-0003,15021-ROUYN-CE1,680,AV,CHAUSSEE,ROUYN-NORANDA,J9X4B9,QC,Non,DSL VPN,64 Kbps,819762,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,000000000003054421-0002,3054,421-0002,14712-ROUYN-CE1,2350,BD,SAGUENAY,ROUYN-NORANDA,J9Y2H5,QC,Non,DDS,56 Kbps,819797,3,On-Net,Lot1,Independent Settlements,High Performance,NetControl,,,102.08,92,92,138,1023.8,1533.4,717,1081,138,1023.8,1533.4,717,1081,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000043566-0002,4356,6-0002,14313-ROUYN-CE1,314,Rue,Pender Ouest,Rouyn-Noranda,J9X2Y8,QC,Non,DSL VPN,64 Kbps,819762,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
Loto-Québec,On-Net,0000000000043506-0002,4350,6-0002,13196-ROUYN-CE1,230,AVE,MURDOCH,ROUYN-NORANDA,J9X1E7,QC,Non,DSL VPN,64 Kbps,819762,3,On-Net,Lot1,Independent Settlements,Enhanced,NetControl,,,93.8,92,92,138,405,587,275,405,138,405,587,275,405,Next-Step,2,138,NA,NA,"SC5, @CMO+50%, we have more than 15% margin"
